Source,Type,Target,Weight
1-й выездной лакей,Undirected,2-й выездной лакей,16
1-й выездной лакей,Undirected,Барин,1
1-й выездной лакей,Undirected,Барыня,2
1-й выездной лакей,Undirected,Бетси,2
1-й выездной лакей,Undirected,Василий Леонидыч,1
1-й выездной лакей,Undirected,Графиня,2
1-й выездной лакей,Undirected,Григорий,5
1-й выездной лакей,Undirected,Княгиня,1
1-й выездной лакей,Undirected,Княжна,1
1-й выездной лакей,Undirected,Коко Клинген,2
1-й выездной лакей,Undirected,Петрищев,2
1-й выездной лакей,Undirected,Семен,1
1-й выездной лакей,Undirected,Таня,2
1-й выездной лакей,Undirected,Федор Иваныч,16
1-й выездной лакей,Undirected,Яков,4
1-й мужик,Undirected,2-й мужик,64
1-й мужик,Undirected,3-й мужик,64
1-й мужик,Undirected,Артельщик,23
1-й мужик,Undirected,Баронесса,2
1-й мужик,Undirected,Барыня,13
1-й мужик,Undirected,Бетси,8
1-й мужик,Undirected,Василий Леонидыч,18
1-й мужик,Undirected,Григорий,17
1-й мужик,Undirected,Гросман,2
1-й мужик,Undirected,Доктор,5
1-й мужик,Undirected,Кухарка,16
1-й мужик,Undirected,Кучер,1
1-й мужик,Undirected,Леонид Федорович,17
1-й мужик,Undirected,Марья Константиновна,4
1-й мужик,Undirected,Петрищев,5
1-й мужик,Undirected,Профессор,3
1-й мужик,Undirected,Сахатов,5
1-й мужик,Undirected,Семен,12
1-й мужик,Undirected,Старый повар,12
1-й мужик,Undirected,Старый повар ,2
1-й мужик,Undirected,Таня,34
1-й мужик,Undirected,Толстая барыня,2
1-й мужик,Undirected,Федор Иваныч,40
1-й мужик,Undirected,Швейцар,2
1-й мужик,Undirected,Яков,5
2-й выездной лакей,Undirected,Барин,1
2-й выездной лакей,Undirected,Барыня,2
2-й выездной лакей,Undirected,Бетси,2
2-й выездной лакей,Undirected,Василий Леонидыч,1
2-й выездной лакей,Undirected,Графиня,2
2-й выездной лакей,Undirected,Григорий,5
2-й выездной лакей,Undirected,Княгиня,1
2-й выездной лакей,Undirected,Княжна,1
2-й выездной лакей,Undirected,Коко Клинген,2
2-й выездной лакей,Undirected,Петрищев,2
2-й выездной лакей,Undirected,Семен,1
2-й выездной лакей,Undirected,Таня,2
2-й выездной лакей,Undirected,Федор Иваныч,16
2-й выездной лакей,Undirected,Яков,4
2-й мужик,Undirected,3-й мужик,64
2-й мужик,Undirected,Артельщик,23
2-й мужик,Undirected,Баронесса,2
2-й мужик,Undirected,Барыня,13
2-й мужик,Undirected,Бетси,8
2-й мужик,Undirected,Василий Леонидыч,18
2-й мужик,Undirected,Григорий,17
2-й мужик,Undirected,Гросман,2
2-й мужик,Undirected,Доктор,5
2-й мужик,Undirected,Кухарка,16
2-й мужик,Undirected,Кучер,1
2-й мужик,Undirected,Леонид Федорович,17
2-й мужик,Undirected,Марья Константиновна,4
2-й мужик,Undirected,Петрищев,5
2-й мужик,Undirected,Профессор,3
2-й мужик,Undirected,Сахатов,5
2-й мужик,Undirected,Семен,12
2-й мужик,Undirected,Старый повар,12
2-й мужик,Undirected,Старый повар ,2
2-й мужик,Undirected,Таня,34
2-й мужик,Undirected,Толстая барыня,2
2-й мужик,Undirected,Федор Иваныч,40
2-й мужик,Undirected,Швейцар,2
2-й мужик,Undirected,Яков,5
3-й мужик,Undirected,Артельщик,23
3-й мужик,Undirected,Баронесса,2
3-й мужик,Undirected,Барыня,13
3-й мужик,Undirected,Бетси,8
3-й мужик,Undirected,Василий Леонидыч,18
3-й мужик,Undirected,Григорий,17
3-й мужик,Undirected,Гросман,2
3-й мужик,Undirected,Доктор,5
3-й мужик,Undirected,Кухарка,16
3-й мужик,Undirected,Кучер,1
3-й мужик,Undirected,Леонид Федорович,17
3-й мужик,Undirected,Марья Константиновна,4
3-й мужик,Undirected,Петрищев,5
3-й мужик,Undirected,Профессор,3
3-й мужик,Undirected,Сахатов,5
3-й мужик,Undirected,Семен,12
3-й мужик,Undirected,Старый повар,12
3-й мужик,Undirected,Старый повар ,2
3-й мужик,Undirected,Таня,34
3-й мужик,Undirected,Толстая барыня,2
3-й мужик,Undirected,Федор Иваныч,40
3-й мужик,Undirected,Швейцар,2
3-й мужик,Undirected,Яков,5
Артельщик,Undirected,Барыня,7
Артельщик,Undirected,Василий Леонидыч,10
Артельщик,Undirected,Григорий,12
Артельщик,Undirected,Доктор,4
Артельщик,Undirected,Леонид Федорович,9
Артельщик,Undirected,Петрищев,2
Артельщик,Undirected,Сахатов,4
Артельщик,Undirected,Семен,2
Артельщик,Undirected,Таня,25
Артельщик,Undirected,Федор Иваныч,27
Артельщик,Undirected,Швейцар,3
Артельщик,Undirected,Яков,2
Артельщик,Undirected,Яков-буфетчик,1
Барин,Undirected,Таня,1
Барин,Undirected,Федор Иваныч,1
Барин,Undirected,Яков,1
Баронесса,Undirected,Барыня,2
Баронесса,Undirected,Бетси,1
Баронесса,Undirected,Василий Леонидыч,1
Баронесса,Undirected,Гросман,2
Баронесса,Undirected,Доктор,2
Баронесса,Undirected,Кухарка,2
Баронесса,Undirected,Леонид Федорович,2
Баронесса,Undirected,Марья Константиновна,1
Баронесса,Undirected,Петрищев,1
Баронесса,Undirected,Профессор,2
Баронесса,Undirected,Сахатов,2
Баронесса,Undirected,Старый повар ,2
